path,kind,extension,bytes,sha256,dimensions_or_filetype,content_type,url
assets/fonts/Roboto_Condensed/RobotoCondensed-Light.ttf,font_asset,ttf,160748,3c8dc0ab1183367c5628994f0896958a9f42fd58f4d4d2c3b0e63ffa3beaebe1,,font/ttf,https://opcloud-sandbox.web.app/assets/fonts/Roboto_Condensed/RobotoCondensed-Light.ttf
assets/fonts/Roboto_Condensed/RobotoCondensed-Regular.ttf,font_asset,ttf,161524,d5cbe10cfb954e6d580525bd05536b21447ce29ab8a84e21da8a58b588190326,,font/ttf,https://opcloud-sandbox.web.app/assets/fonts/Roboto_Condensed/RobotoCondensed-Regular.ttf
assets/gifs/add_requirement.gif,graphic_asset,gif,234277,aadd4934e9d088e5bb1322787b22e1913aa4fb795d1b63541aba3c55db237c2b,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/add_requirement.gif
assets/gifs/add_states.gif,graphic_asset,gif,139014,7b69527634a85f4289b3e4e21c79ed55d2bb859d474d4405db3826ccc7509f82,"GIF image data, version 87a, 846 x 484",image/gif,https://opcloud-sandbox.web.app/assets/gifs/add_states.gif
assets/gifs/affiliation.gif,graphic_asset,gif,257518,96ec72f88959d138c06c6263f309293779faeebe42cb9ad8b593e884f08008d2,"GIF image data, version 87a, 762 x 406",image/gif,https://opcloud-sandbox.web.app/assets/gifs/affiliation.gif
assets/gifs/attach_requirement_stereotype.gif,graphic_asset,gif,443843,574494e0b3db83e2cf789eb0c40c6d0e7fe34f8f5e8a9c5ca09b55f870913fc6,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/attach_requirement_stereotype.gif
assets/gifs/auto_format.gif,graphic_asset,gif,607746,d742c8b525cc910bfe21d9d751a13c25e79ccf9b6b0c6fc13eb7626bc5606457,"GIF image data, version 89a, 1204 x 638",image/gif,https://opcloud-sandbox.web.app/assets/gifs/auto_format.gif
assets/gifs/bring_connected_things.gif,graphic_asset,gif,593015,93c24437cf0e05182f24f2be46c297d99d1de822ef998f108c7008a0941db99f,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/bring_connected_things.gif
assets/gifs/computation.gif,graphic_asset,gif,356855,1ea4731bd84c5f88e46dfc94cf9ca236283c64f4df66bc5cbbd064f27f4936e6,"GIF image data, version 87a, 660 x 426",image/gif,https://opcloud-sandbox.web.app/assets/gifs/computation.gif
assets/gifs/create_requirement_view.gif,graphic_asset,gif,1201841,0bfe109a3bbb164cc2a07121909c59261040a49fcee6156610264bbb6291f8b9,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/create_requirement_view.gif
assets/gifs/create_view.gif,graphic_asset,gif,2070623,b855f77e573f8c15730a4722126b4e7ad4c37f38e0d547dec181e46e442bb955,"GIF image data, version 87a, 1280 x 720",image/gif,https://opcloud-sandbox.web.app/assets/gifs/create_view.gif
assets/gifs/de_magnifying.gif,graphic_asset,gif,1430536,ae4e7bdf23f534be69430a4dde415724aa9678b4d8acad4bc7833527e2f45497,"GIF image data, version 89a, 1248 x 774",image/gif,https://opcloud-sandbox.web.app/assets/gifs/de_magnifying.gif
assets/gifs/destating.gif,graphic_asset,gif,471133,35103277ecb46fa5776bbeaba862d43740749c423f0463df3814577eee7b0073,"GIF image data, version 89a, 1210 x 754",image/gif,https://opcloud-sandbox.web.app/assets/gifs/destating.gif
